lat,lng,星级,餐厅名称
30.226332851,120.1194983952,100%,甘庐(龙井店)
30.2568477721,120.1715748202,100%,南洋炉•新加坡煮炒(吴山路店)
30.311071605,120.1400263552,0%,Moe猫咪咖啡
30.2641627939,120.1705766661,0%,雷迪森大酒店自助餐
30.0044265021,120.2929668064,0%,开元天域·开元观堂酒店
29.7818566415,119.581700962,0%,桐庐裸心园农庄
30.2656342087,120.1585421896,0%,Carbon北山十号法国餐厅(北山店)
30.2721099854,120.1456699982,0%,浙江世贸君澜大酒店
30.2055492401,120.0885209364,0%,绿茶
30.3013834973,120.1520839705,0%,马灯部落(信义坊店)
30.2428861364,120.1766759612,0%,兰边碗
30.2612486336,120.1715782498,0%,杭州知味观·杭帮菜餐厅(湖滨店)
30.2008461329,120.1216987934,0%,丰溢茶楼(九溪十八涧店)
30.2604007577,120.1679644406,0%,杭州凯悦酒店·晚霞
30.2800006866,120.1616102109,0%,岳庙
30.2461242676,120.1226293868,0%,梅家坞
29.606367,119.031319,0%,渔乐圈湖景餐厅
30.1831100623,120.1986755947,0%,在云端
30.250886357,120.1687592163,100%,索菲特西湖大酒店
30.262446182,120.1717797314,100%,梅地亚自助餐
30.263663089,120.1249247693,0%,青墅旅舍
30.1722308911,120.3895809166,0%,杭州宝盛水博园大酒店
30.337786,120.099315,0%,甜品日记
30.2636046541,120.1978909738,0%,戈壁滩·清真
30.2207487637,120.1415173815,0%,懒墅庭院
30.273615,120.167338,100%,老头油爆虾（武林店）
30.2423616694,120.1120299432,90%,樵食庭院餐厅
30.3119502795,120.130605667,90%,桐庐人家
29.596760095,119.0144988794,100%,千岛湖客运码头
30.2709179859,120.1669657937,90%,弄堂里(武林皇后店)
30.2299861908,120.2038210778,80%,尊蓝钱江豪华精选酒店澜亭中餐厅
30.2648354177,120.1658587427,90%,鹤川日本料理(望湖店)
30.2532979136,120.167406235,70%,杭州名菜馆
30.322657498,120.342994687,70%,古兰轩清真特色餐厅
30.156416644,120.0860666491,100%,萤火虫烧烤自助餐厅
30.2714122915,120.0969169323,100%,柴田西点(西溪天堂栖悦城店店)
30.271276474,120.2035746,0%,浙江大学华家池校区-五食堂餐厅
30.2493359664,120.1724548118,100%,阿香米线(杭州西湖银泰城店)
30.189325,120.248824,0%,杭州中赢希尔顿酒店·厨艺西餐厅
30.271458,120.155302,0%,红帽小吃馆
30.2566573195,120.1713067512,0%,新白鹿餐厅(湖滨银泰店)
30.254665988,120.2198923718,0%,外婆家●杭儿风(杭州来福士店)
30.192812224,120.1740648007,0%,缸鸭狗·宁波特色小吃(滨江宝龙店)
30.2798915518,120.166483636,100%,库塔（新加坡餐厅杭州大厦店）
29.9394017455,119.4478564658,70%,益红酒家分水店
30.2223949432,120.1445395448,86%,马灯部落·西湖边的创意山景餐厅(四眼井店)
30.2789199647,120.1739908837,100%,新白鹿餐厅(游泳馆店)
30.2389665404,120.4432514173,90%,肯德基
30.2331792188,120.1008671662,70%,灵隐斋堂
30.2583844044,120.1772921758,80%,吴山烤禽店(光复店)
30.2544057918,120.1675578648,00%,安之秀菓(南山路店)
30.2964400509,120.2184998444,00%,老娘舅(火车东站店)
30.2470495932,120.111038019,80%,翠薇园
30.2504330015,120.114470655,80%,灵隐禅和源
30.3127251809,120.143436309,60%,YUNSHUI谣(云水谣)
30.313194544,120.1454435311,90%,汉舍小雅汉舍小馆
30.2108573914,120.0944882118,86%,欣怡茶庄
30.2504291534,120.1151586714,80%,小丫头餐厅
30.2754622689,120.1706805072,90%,杭州大酒店旋转餐厅
30.247379303,120.1775825604,100%,暖空概念明信片咖啡馆
30.3185436403,120.1484512879,100%,旅马餐厅(丝联店)
30.2672639869,120.1252266298,60%,茶田吾舍
30.1778284506,120.2751014462,100%,老头儿油爆虾(萧山银隆店)
30.2675434504,120.1330319545,60%,玲珑小吃(浙大玉泉店)
